cue,target,fsg,bsg
LOST,FOUND,0.747,0.813
BEGINNING,END,0.747,0
QUEEN,KING,0.73,0.772
AUTOMOBILE,CAR,0.709,0
YOKE,EGG,0.696,0
MEATBALLS,SPAGHETTI,0.675,0.24
LATHER,SOAP,0.673,0.027
BED,SLEEP,0.638,0.092
STALLION,HORSE,0.632,0
ENTRANCE,EXIT,0.615,0.101
ROMANCE,LOVE,0.614,0
SPADES,CARDS,0.568,0
INCOME,MONEY,0.543,0
CAUTIOUS,CAREFUL,0.513,0.394
DRENCH,WET,0.503,0
CONSIDER,THINK,0.5,0
CALCULATOR,MATH,0.496,0.012
ALE,BEER,0.487,0.011
CLOSING,OPENING,0.48,0.507
YEARN,WANT,0.479,0.039
CRUISE,SHIP,0.449,0.016
GOING,GONE,0.43,0.014
DESIGNER,CLOTHES,0.427,0
FLUSH,TOILET,0.418,0.074
ALPHABET,LETTERS,0.412,0.144
DOCUMENT,PAPER,0.408,0
HANDS,FEET,0.396,0.095
SPOOK,GHOST,0.385,0.061
GRAZE,COW,0.362,0
CERTAIN,SURE,0.353,0.023
PAN,POT,0.351,0.286
TERMINAL,AIRPORT,0.338,0
GRAB,TAKE,0.333,0.039
MORON,IDIOT,0.331,0.061
CHISEL,HAMMER,0.328,0
DUMP,GARBAGE,0.326,0
DEPENDENT,INDEPENDENT,0.318,0.136
RESORT,HOTEL,0.311,0
RABBI,PRIEST,0.304,0.028
CROPS,CORN,0.301,0
